CityState,ZIP,City,State,lat,lon
"Plymouth, MA",02360,Plymouth,MA,41.894676,-70.61999
"Kingston, MA",02364,Kingston,MA,41.993102,-70.73827
"South Carver, MA",02366,South Carver,MA,41.854063,-70.66088
"Plympton, MA",02367,Plympton,MA,41.968987,-70.80452
"Randolph, MA",02368,Randolph,MA,42.173417,-71.04912
"Dennis Port, MA",02369,Dennis Port,MA,41.662531,-70.14021
"Rockland, MA",02370,Rockland,MA,42.129513,-70.91189
"South Easton, MA",02375,South Easton,MA,42.029749,-71.10191
"West Bridgewater, MA",02379,West Bridgewater,MA,42.02195,-71.01878
"White Horse Beach, MA",02381,White Horse Beach,MA,41.931602,-70.561051
"Whitman, MA",02382,Whitman,MA,42.08235,-70.93734
"North Waltham, MA",02455,North Waltham,MA,42.39,-71.22
"New Town, MA",02456,New Town,MA,42.446396,-71.459405
"Newton Center, MA",02459,Newton Center,MA,42.321197,-71.193
"Newtonville, MA",02460,Newtonville,MA,42.352996,-71.20907
"Newton Highlands, MA",02461,Newton Highlands,MA,42.31883,-71.20822
"Newton Lower Falls, MA",02462,Newton Lower Falls,MA,42.331646,-71.25761
"Newton Upper Falls, MA",02464,Newton Upper Falls,MA,42.311997,-71.22046
"West Newton, MA",02465,West Newton,MA,42.351046,-71.22677
"Wellesley Hills, MA",02481,Wellesley Hills,MA,42.313329,-71.27649
"Nonantum, MA",02495,Nonantum,MA,42.446396,-71.459405
"Buzzards Bay, MA",02532,Buzzards Bay,MA,41.751841,-70.59764
"Cataumet, MA",02534,Cataumet,MA,41.66566,-70.616
"Chilmark, MA",02535,Chilmark,MA,41.345578,-70.75145
"East Falmouth, MA",02536,East Falmouth,MA,41.578992,-70.5614
"East Sandwich, MA",02537,East Sandwich,MA,41.733837,-70.43754
"East Wareham, MA",02538,East Wareham,MA,41.782915,-70.64881
"Edgartown, MA",02539,Edgartown,MA,41.380479,-70.52453
"Falmouth, MA",02540,Falmouth,MA,41.56105,-70.61968
"Woods Hole, MA",02543,Woods Hole,MA,41.526791,-70.66505
"Mashpee, MA",02549,Mashpee,MA,41.621779,-70.504349
"Oak Bluffs, MA",02551,Oak Bluffs,MA,41.453321,-70.558023
"Menemsha, MA",02552,Menemsha,MA,41.379836,-70.643092
"Monument Beach, MA",02553,Monument Beach,MA,41.67336,-70.608047
"Nantucket, MA",02554,Nantucket,MA,41.276758,-70.09089
